post_id,num_comments,num_duplicates
1j61fns,14,12
1iss0sf,16,12
1j7anid,13,11
1iffkqt,12,11
1hlhbqj,15,11
1883jbd,14,11
1j89lyu,15,10
1as4tcb,13,10
1bsyypf,14,10
1gitms8,11,10
1j325y6,15,10
1j37opv,13,10
1iz7m74,14,10
1hw9wtp,12,10
1hf6t1m,14,10
1hwkgk3,15,10
1ilhs4o,13,10
1iwcox0,11,10
hx4b5r,11,10
1j87uww,13,10
1j88w3b,14,9
1caqnqj,13,9
1bmeg27,15,9
1fr0koo,11,9
1j5v3vb,10,9
1iu7a5s,13,9
1j37aqz,10,9
1hvcx6z,15,9
1j45toq,13,9
1i6iuuk,14,9
pfm2ic,13,9
1j4ree0,12,9
1j4p34g,13,9
1j5xvaa,13,9
1j8hrly,11,9
7pie39,14,9
1j8c0ej,14,9
hzndav,11,9
1isplle,15,9
ph511m,10,9
1bd5ftr,12,8
31r5yx,10,8
1j3ufnr,11,8
1j31ban,12,8
1j27itl,14,8
1j304jo,13,8
1j4a9ip,15,8
1iza29u,16,8
1j1brr1,11,8
1i1b6ti,13,8
1j069am,15,8
1iyofd0,12,8
1h3fa20,12,8
1hekcus,11,8
1hyvqe6,12,8
gdecgi,11,8
1j8i5kj,13,8
1j8fw8f,10,8
1j8a0sf,12,8
1elh3pe,15,8
1j854p2,13,8
1j6aeod,13,8
1j6dsmj,12,8
1j7jmqp,12,8
1g6d0wt,12,8
1j5cru4,15,8
1j6fcr8,11,8
1j4xmmo,10,8
1irp2ho,11,8
odazfv,12,8
1if2f9t,10,8
10x5cqu,15,8
1iij3sy,10,8
1j24unv,11,8
1gorkvj,10,8
1j7r4az,13,8
1j4nsel,12,7
1j587rn,12,7
1b0uhzu,10,7
58q9uz,14,7
1j8i517,13,7
1j5mb7o,11,7
1j6p4qd,12,7
1j6y265,14,7
1j64raa,13,7
1apo8mh,13,7
1j58dvi,13,7
1j7gzuo,13,7
1j74zsf,10,7
1j7qy88,14,7
4g12w3,11,7
1ii3u6m,12,7
1ijuo3f,12,7
1ikdur0,14,7
1im6odb,9,7
scwpk,15,7
10ps7zf,13,7
1hzqo4e,8,7
1j1grjj,14,7
1j0rj5y,12,7
1gdg53s,12,7
1j5henh,14,7
1bwubfc,10,7
176yok9,13,7
ih33s5,14,7
18iu5y,12,7
1iuweeo,13,7
1iudcg0,12,7
1ixkfb8,11,7
1ix45d8,13,7
1is1n07,12,7
1iqnifm,12,7
1ir6u7h,10,7
1ikou89,12,7
1097076,15,7
1hm8piz,9,7
1j4k94c,13,7
1hqe93p,10,7
1izq2b9,12,7
1i6llov,12,7
1j27dtz,11,7
1097wjq,13,7
1ixwusj,11,7
1ix5e3v,11,7
1idd038,12,7
1hbqsi7,12,7
1j5dog1,12,6
1j5lm8o,8,6
1j5s8zu,11,6
1h0y3qw,11,6
1j5y721,11,6
1fqaa1p,12,6
1fla2g1,11,6
1j5u4vx,14,6
1g8p1h,11,6
1g2wr43,12,6
1j5p3z2,12,6
1j63xoy,11,6
hs1skd,12,6
16ml1o5,11,6
hqfd49,10,6
hrjgpm,13,6
bjjw5m,11,6
bd6jsn,13,6
8pc1e4,12,6
7pfsia,11,6
1bj4e72,11,6
7b85xy,13,6
2uc318,14,6
1ar4j2,12,6
1j8mgj9,12,6
1aex3tp,10,6
17o53v4,11,6
1fqbaer,13,6
1j6rrz0,11,6
1j71dra,13,6
1j7bfqp,9,6
1j7f15h,13,6
1j89alm,8,6
1j85mwq,12,6
1e8qm00,11,6
1j7o0og,12,6
1j6npxr,13,6
1j6ldn7,12,6
1j72dgv,12,6
1j71irl,12,6
1g04p6b,12,6
25x8th,11,6
1djjwr6,9,6
1j8cg6z,14,6
1gusswr,13,6
1gxy9i5,13,6
1j58s18,11,6
1i2928o,14,6
1iyhfed,12,6
1i54tav,12,6
1ixzst3,13,6
1ixyvuw,11,6
1j0ctvx,12,6
1j1d6mo,9,6
1j1re44,13,6
1j1hpva,12,6
1j1yog5,11,6
1j0aehk,13,6
1izje9u,11,6
1iyuptn,11,6
1j15a0w,9,6
1j3nvof,10,6
1himoln,10,6
1hfnlw2,11,6
1j481gc,12,6
1j4gwol,12,6
1j45r9k,12,6
1j40zdn,13,6
1j3tr32,12,6
1j2yif4,11,6
1j2fnxb,12,6
1j298ev,12,6
1j2qar8,11,6
1j20dae,12,6
1i03fjy,11,6
1j0qc3b,8,6
1iqkrmf,11,6
1iqt44t,12,6
1ir6ekl,11,6
1id4vt7,7,6
1idp04q,11,6
1isu3r2,9,6
1isqds3,12,6
1irc891,10,6
1iw35mn,12,6
1iwyh7r,11,6
1ix60p9,11,6
1iw20hu,13,6
1iuocn8,12,6
1ic8soa,13,6
1iu433b,11,6
1itopti,13,6
1ij5fon,14,6
1iisdzk,11,6
1ik59lf,11,6
1ipal0c,13,6
1iobp8x,9,6
1iop3kl,10,6
1innvha,14,6
1il94st,13,6
1ipey3i,7,6
16g7qfj,12,6
1igdn3g,14,6
v284vm,10,6
15nqtkx,12,6
14wjjs6,13,6
10ej2vp,10,6
107dem8,13,6
8lnwcf,10,5
1iil3w4,10,5
1ikbuy7,11,5
1ikha61,11,5
emepak,13,5
exg935,11,5
ast9ty,7,5
1ign3pk,12,5
1iqr0ju,15,5
1icz86z,12,5
1j8e4zu,12,5
1j8dec0,11,5
1j8cw5l,7,5
1ipoxjt,12,5
1iloobm,11,5
2851ty,12,5
1t0quf,11,5
26ghou,12,5
1disiok,12,5
1ilwofs,13,5
1imzqr9,10,5
1ip3i93,8,5
1d3h0u9,11,5
1if6ox5,14,5
1j76xc5,12,5
1ibdofp,14,5
1ivx36b,9,5
1g1bmn0,11,5
1j694hu,11,5
1j6cpry,13,5
1fm4lqh,8,5
1i3l1w1,12,5
1j68o2m,10,5
1j64eb2,9,5
1ix7z3a,9,5
1ix84gl,9,5
1ix8pi3,12,5
1ixgli6,6,5
1gz1e7o,10,5
1j64apx,8,5
1h1djpu,13,5
1i9y4hp,14,5
1g0ix8e,10,5
1j7vfpp,9,5
1itcj2q,12,5
1iw6jln,11,5
1ell8sm,13,5
1j89d26,12,5
1j7ynji,10,5
1i9cctt,11,5
1isyq4t,10,5
1it8m0o,10,5
1j8azjt,11,5
1j8ccyi,10,5
1j2mg9d,12,5
1hepuy3,8,5
1j1eluv,10,5
1j1lk09,12,5
1j1bzdz,11,5
1h86hgo,10,5
1i02ss2,13,5
1j0uarp,12,5
1j30aez,13,5
1j31j4w,13,5
vnq4hh,9,5
rfr97j,10,5
17lg2ae,11,5
1j0854g,11,5
1j47qf6,10,5
1j3zt8z,11,5
1j4f2je,12,5
1j4ab6t,12,5
1hyktgt,13,5
1j0nk79,15,5
1j0e87a,13,5
1j47fmt,9,5
1j4a1k3,13,5
1j4rr8k,11,5
1j4v0is,12,5
1j4sqkd,11,5
1j4q940,12,5
1i4ctbo,11,5
1gq64be,13,5
1i75rll,13,5
1ixz0kn,10,5
hxwsdr,11,5
1hhnz94,10,5
1iy6ed7,10,5
1cy25i8,8,4
1ipya0d,8,4
1id5ppj,11,4
1icu2ar,10,4
1ichpks,12,4
1ciy8u0,11,4
1d0ukp,8,4
1imcxct,14,4
1imomz8,9,4
1ioxv1z,8,4
1auqekb,9,4
1aijqzm,13,4
2iq20x,11,4
1iqq8bm,11,4
1ilrlph,13,4
1ijhdnc,11,4
f2yjgq,12,4
hpuczj,5,4
1084607,8,4
i1bpts,11,4
hrl4bg,12,4
10vb08e,10,4
1ihy9mm,8,4
1ifvog7,12,4
e2w19w,10,4
1igmvrk,10,4
1ifukcy,10,4
9cb7zx,11,4
a7btyl,10,4
1mbw4a,11,4
1j8ewp2,10,4
1j5csi7,8,4
1iz81uq,6,4
1j5g247,11,4
1gl7leo,12,4
1iwnrbi,7,4
1fheysy,12,4
1fkmefq,12,4
1j6win1,12,4
1j70jy4,9,4
1ivwb75,11,4
1ia0ula,11,4
1ftppdl,13,4
1irw0ty,9,4
1is60qa,13,4
1islcu5,10,4
1j7z9vl,7,4
1j7z4dm,12,4
1iequak,8,4
1j8a0p6,12,4
1itrdnr,7,4
1i7z64e,12,4
1i7zjbx,9,4
1i941un,13,4
1ekglyu,13,4
1j7t0vg,7,4
1j7mgjq,7,4
1j7nss5,12,4
1j7is1z,9,4
1j7i0xi,9,4
1j7hcmd,12,4
1j7b62a,14,4
1if4na3,9,4
1irf11l,13,4
1j5r478,11,4
1j3tarf,10,4
1hwjc0m,13,4
1izkuz4,8,4
1izq7sr,9,4
1j0a9ok,12,4
1j4ta9i,11,4
1i69xg7,10,4
1iz1m1d,10,4
1i5mwt6,8,4
1j4w37o,13,4
1j4ca3t,13,4
1j4r33j,12,4
1j4i843,13,4
1j2riup,11,4
1j2rue9,8,4
1j3273c,11,4
1hcgk2c,11,4
1hgippp,10,4
1hiban3,13,4
1hlctq1,10,4
1hw43la,14,4
htw2cs,12,4
i05dzn,12,4
1j1w1rz,12,4
1j1yyom,11,4
1835ps7,8,4
r4tff0,5,4
14e3lum,13,4
12i893h,11,4
1ijoq8o,12,3
1ihkr79,13,3
4gvw9w,14,3
1b5i33q,13,3
1bepp9q,9,3
1j28nsz,10,3
1hlplb4,13,3
1hkkmz8,11,3
1j2h14x,12,3
1ap2djj,7,3
1j4rxq4,10,3
1j4bpxk,4,3
3nrm6c,10,3
1j4fmvn,6,3
2fz2km,11,3
hzsze2,10,3
1j20z5a,8,3
1j22a5c,13,3
1hzy94o,10,3
1i0co6b,8,3
1hystlq,10,3
hvm7xy,10,3
1izznlf,10,3
3c771r,13,3
1hrf5mf,11,3
1imd1je,8,3
322mgp,13,3
2opt61,11,3
1j1b19n,11,3
1j15ydz,11,3
1j53tez,9,3
1czplse,11,3
1d1p6bt,9,3
25yx6c,10,3
1j1ow6v,11,3
1j1fu3n,9,3
1j4w04u,10,3
1iztrsv,12,3
1j52miq,11,3
1fookzy,9,3
1ivmpd9,13,3
1j8c1mo,8,3
1iwc7ah,11,3
1j663fc,6,3
1j62opi,8,3
1j70y0d,9,3
1j6g9x1,10,3
1j6fx6b,10,3
1j6nwar,12,3
1ivpium,13,3
1j8fi7b,12,3
1j8dux4,10,3
1cysktx,9,3
1ip97i8,9,3
1iqig6t,8,3
1i1ewpp,11,3
1ixvnc3,4,3
1ixbrfy,8,3
1ge9ycw,10,3
1ge4nwx,6,3
1gd15cg,6,3
1gafcks,9,3
1j5s3vk,9,3
1h2ik9o,6,3
1j58j5k,12,3
1j5avli,10,3
1gp0960,11,3
1gp2d8u,13,3
1i6b58t,11,3
1i7nvxd,11,3
1iy68bw,9,3
1iyeoy0,12,3
1iygj9p,8,3
1h0pinz,10,3
1iut3nf,9,3
1iu8wpf,7,3
17kq2ka,8,3
1fqm04p,6,3
1icxhq1,9,3
17e33wr,10,3
1itr8ub,11,3
1e8hmev,13,3
14dng5y,6,3
s09n3d,13,3
16iq54z,9,3
io5m0w,6,3
17vw9r2,12,3
nse85o,9,3
1708gpu,8,3
1ijyrjd,8,3
1j7kpyl,9,3
1j7c17m,10,3
1j7zq4i,13,3
1j84uvj,11,3
1f0dceo,11,3
1j7lho3,12,3
1e3gjtq,12,3
1j7nu24,12,3
1e4bjst,9,3
1j784p9,7,3
1j7a4eg,9,3
1iajvtn,10,3
1ic0lkt,11,3
1iutah2,4,3
1iuxvqp,10,3
1ividad,7,3
8wge4b,13,2
a9xett,3,2
atoytp,10,2
1dowy5v,4,2
1j8m6i7,4,2
1x1cnd,8,2
1hxg2hm,11,2
1j4bgyj,14,2
1j4qvy1,10,2
1h8fmdr,9,2
1hemru7,7,2
1j3iycp,11,2
1j46ohr,9,2
1izlbkf,9,2
1izs2ml,10,2
1j52w0d,9,2
1j1pw9f,6,2
1ioohvk,11,2
1j2oeil,10,2
1hqbo9d,4,2
1j1rumz,9,2
1hojap9,4,2
1ioxatq,13,2
1h6f64l,7,2
1inbf7f,10,2
1iktcjo,9,2
34fagi,8,2
1hu39h1,9,2
1j2ontt,14,2
1j0ggqh,10,2
1bkhz6x,12,2
1bwcgkd,9,2
1iej3lw,10,2
1d34ogm,10,2
1j8jjml,11,2
1j8edco,10,2
1isuju7,12,2
1ismhvd,9,2
1j6i38w,14,2
1iwhsz7,8,2
1j71r13,12,2
1j6091h,7,2
1iwenej,12,2
1byp5fx,10,2
1ipk6hp,10,2
1j6zvwv,10,2
1fnf9pa,4,2
1ix219k,10,2
1j5v2fz,7,2
1gmvdkd,14,2
1guegsu,10,2
1gqba6l,10,2
1gutrkl,6,2
1i69sek,5,2
1i7fqk8,12,2
1i733d7,7,2
1g8rra4,9,2
1gboppy,12,2
1gkwuuj,10,2
1j6669p,4,2
1j6t0vr,9,2
1j699dc,10,2
1j7v5d9,10,2
1j7u952,12,2
1i9f9v3,11,2
1f4qlvf,5,2
1j84eon,9,2
1j82i5x,4,2
1ievql5,4,2
1j7cvtj,5,2
1irvdmd,12,2
1iromis,11,2
1j7gb13,10,2
1j7eqp3,14,2
1j7e7tb,13,2
1j74apd,10,2
1dvfl2s,9,2
1j73pnq,9,2
1epf1q9,9,2
1i7ogj3,3,2
17jxrs5,9,2
1e9vhlw,5,2
icv6ev,5,2
10xiuey,8,2
1i8s2ow,4,2
1iu5c6p,14,2
1eqs009,12,2
ch4x7v,11,2
181l8py,13,2
hseqz2,10,2
ht5c9d,9,2
cgpbv1,4,2
e42e5t,10,2
xwdzcq,3,2
liy1j8,6,2
l497hw,7,2
rgaz8c,7,1
xh1r8x,5,1
18ega1a,10,1
19cb0le,6,1
1ik3ru7,9,1
1ika4m,12,1
bnh832,11,1
hojhgy,8,1
hqu6d7,9,1
i18ovn,10,1
1ekso2q,10,1
1itwetk,3,1
1iu87sp,7,1
1i8657m,12,1
1f5pnci,6,1
1f6de96,10,1
1j7ws3g,7,1
1j7wsz6,8,1
1j8a9ox,9,1
1iew0k6,9,1
1isabat,10,1
