post_id,num_comments,num_duplicates
1iy1r5g,20,10
2w9ah3,18,9
sbk48o,16,8
c39hrv,16,8
17oulqt,16,8
1im5efb,16,8
1gm3gkp,14,7
1ihf5nj,20,7
1ivj744,14,7
1ihhxmk,16,6
1j63sg4,12,6
1hi5nh1,12,6
1h2ufia,10,5
1fmzm4c,12,5
1frxidf,10,5
1j779bp,8,4
1j1nyg1,16,4
1j7cgap,10,4
12x6rw,8,4
128kjfq,8,4
1irowef,8,4
1iyn3k7,8,4
1ik4wm3,8,4
1izrrb8,8,4
9g94pd,8,4
1hzduqx,8,4
1fhavep,8,4
1hcfi78,8,4
1h34t6b,8,4
1j7k3p2,10,3
1fq276j,6,3
hmymxc,6,3
1cpry0m,8,3
14unc3,6,3
1j3aml4,6,3
1j2ox0h,8,3
1ijk03j,6,3
1j0pxil,8,3
1j1tlhw,6,3
1iitco4,6,3
1iafa64,12,3
1i6py5v,8,3
1j4kp74,10,3
1iw1z87,6,3
1iugp1h,6,3
1ixc2cz,6,3
1ixy325,6,3
1iztskf,6,3
1j55206,14,3
1j2y944,6,3
1hecq4r,6,3
1j7hilw,16,3
1j64apx,6,3
1j79643,6,3
1f45s7o,6,3
1dz9ivp,6,3
1j8758m,6,3
1fp557y,6,3
1gboaxx,8,3
1j7s5aa,6,3
ilvcba,6,3
1j8mwkc,6,3
2k2nmy,6,3
1it9wtm,6,3
1j56ie3,4,2
1j5n25y,4,2
1j608bv,14,2
1j6i1s1,6,2
1hgpvdp,6,2
1i137gq,8,2
1hsn0aw,4,2
1hpz4vp,4,2
1gyi8dh,4,2
1gp2d8u,4,2
1gm90er,8,2
1fbr7h0,4,2
1hgm9kc,4,2
1ha9l40,14,2
1h6zgqw,4,2
1h4oc0z,10,2
1j7gs8k,4,2
2m70i3,4,2
1eqcm6e,4,2
i8yqzm,4,2
n5s31r,4,2
1d4vtht,4,2
9jhblc,18,2
94a9r5,16,2
1j7x1qu,4,2
1j7zc2y,4,2
1j7znm6,4,2
1j84at2,4,2
1j8klut,4,2
1lpfif,4,2
1gfb6c9,8,2
1j7pwzt,4,2
1ue61m,4,2
1ija11a,4,2
1ii8e2f,4,2
1j2sz2i,4,2
1j1zqhp,4,2
1j2bkzj,12,2
1j1ziyz,4,2
1j1k8w6,4,2
1iau7iq,4,2
1iecdb2,4,2
1j3womv,4,2
1j44lg2,4,2
1i7z64e,4,2
1i8owol,4,2
1i1h7hf,4,2
1i4yjge,4,2
1j4mzo6,4,2
1j4ty1y,4,2
1ijkakz,18,2
1iu4mud,4,2
1iyetmj,4,2
1iv73wy,4,2
1ixfoe9,4,2
1il06nm,4,2
rlnl1m,4,2
xsgbes,4,2
1isknqt,4,2
1irkqvl,4,2
15r53gc,18,2
apukxg,4,2
b8jywe,4,2
13mq1ei,4,2
xy2y2,2,1
106q2b9,2,1
157ki4v,2,1
17vgi9g,2,1
aie66h,2,1
al75q7,2,1
aq8bpn,2,1
au345a,2,1
ol1inb,2,1
rfkokr,2,1
rqorxi,2,1
s8nmd7,17,1
sbi1s,2,1
ufrj9f,2,1
1b24eco,4,1
18p57ds,4,1
1bgarxk,2,1
1bnb4wp,4,1
1chsxyj,2,1
1crvqzi,12,1
1io8qt2,2,1
1ip97i8,2,1
1ipbnug,2,1
1iqioy7,2,1
1iql9iy,2,1
1iqp25o,2,1
1ir1xo9,2,1
1irgfga,2,1
1irs3gn,2,1
1isf63x,10,1
1ishfh1,10,1
1it3uf7,2,1
1itd2kt,2,1
