post_id,num_comments,num_duplicates
ejm2ux,10,8
hzndav,11,8
1ier8ru,13,7
afwfqm,11,7
1iylv7t,9,7
1j1j1iy,9,7
1j1ioca,11,7
1ipya0d,9,7
1gutrkl,9,7
1ia4a41,9,7
1h92l8h,9,6
1j89alm,8,6
1hap52b,8,6
1i471tf,8,6
1idsasj,10,6
1j5csi7,10,6
1j4v0is,11,6
1j0w7jx,11,6
1inev6o,9,6
1gyl9cf,11,6
1dovtb1,8,6
s09n3d,12,6
1hs69kb,9,6
1i4qfyr,13,6
1dowy5v,8,6
1fkt608,9,6
1j5csql,8,6
1j6gnw4,8,6
1j8ewp2,9,5
3cc555,9,5
1howcyh,7,5
1j5hac0,11,5
1iyq2mi,9,5
1ix45d8,10,5
10b87h5,7,5
1c66x8o,7,5
17egr8a,12,5
fql6a7,8,5
1j3tarf,9,5
1j1zg04,8,5
1j0mzc1,9,5
1j42w9a,11,5
1i5mwt6,7,5
1il3w1r,9,5
1isv37n,8,5
1ib0uu1,10,5
1j8izmn,9,5
1j8jzb7,8,5
3w9jct,8,5
1iik2t2,10,5
qi9uq4,8,5
1019y0r,13,5
1gy6dwx,11,5
1fyigsu,9,5
nk0z02,8,5
rxefil,10,5
lj92m6,8,5
11j7ek,9,5
1izwvn6,9,5
1il06nm,8,5
1i70n1k,12,5
1j7pmju,10,5
1isqds3,9,4
1fhepi5,10,4
1hbr6nb,7,4
1fhavep,9,4
1iu7a5s,7,4
1injsvw,9,4
1idd038,8,4
1ik6xjh,10,4
1j7cuw0,9,4
1j7k2gt,10,4
1ixgli6,13,4
1j5cru4,11,4
1j3iycp,11,4
1j367e8,13,4
9if3ui,9,4
1d50rfr,8,4
1cll5lc,9,4
ak66n6,9,4
1j7cgap,11,4
1iw3ml0,8,4
1iyx5ud,10,4
1iz81uq,8,4
1iyhlxk,11,4
1j66bjh,10,4
1izjcra,8,4
1iy6kwp,14,4
1j6wx8h,7,4
1j01i1q,8,4
1g9imeo,8,4
1gp0960,11,4
1enfnbh,10,4
14cx6y5,10,4
1gr2d1k,8,4
1hbsiw2,9,4
2.30E+43,14,4
1h39ezz,10,4
1j8cg6z,10,4
1iavs2y,9,4
1iepzmj,10,4
1hpz4vp,9,4
2ozrqj,11,4
1i9s767,8,4
34fagi,8,4
2j8lgz,8,4
1hwkgk3,11,3
1ihp2wr,8,3
1j70qdw,8,3
1j8ibmd,8,3
1j8dty3,8,3
1j8dgrr,7,3
1iad4iv,9,3
1ibr70q,11,3
1h3fa20,14,3
1gvxful,9,3
15h4h1,8,3
opue1p,9,3
1gai4gp,7,3
1fqbaer,8,3
1gd15cg,11,3
1ffbt05,7,3
10dlzul,8,3
i0uyrk,8,3
ghlnll,8,3
1j56pse,10,3
1j7wd00,11,3
1j7lsg5,8,3
1b9of16,9,3
1bv29xs,10,3
1j43wt1,7,3
1883jbd,9,3
1j3r845,9,3
1j3mcm1,6,3
1j4650l,9,3
1izcwkv,9,3
1iv456u,8,3
1j69p53,8,3
1j7jmqp,11,3
1iu44i8,8,3
1itsmwy,8,3
1itydtg,10,3
1j1v6i2,10,3
1j2svlb,9,3
1j3whvy,8,3
1hfpaae,10,3
1it3zx8,6,3
1isxnnw,7,3
1iqd1mh,9,3
1j62l4u,9,3
1j7ziv6,7,3
1iv8ets,9,3
1iwenej,10,3
1iz3cso,8,3
1gjbif6,10,3
52dib0,10,3
1i41a0q,7,3
1hfglo9,12,3
1i17bgt,11,3
1i47pgq,7,3
1j84g7j,9,3
1gv3qq9,9,3
1h94ug2,11,3
108plfc,8,2
lplbwv,9,2
2d55kp,8,2
1ut02o,7,2
sc2m7y,7,2
1fbil8o,6,2
qc4pvo,9,2
1e7i4r0,12,2
1e3owxd,8,2
1gicxf7,8,2
1fla9ux,8,2
8lzbg4,8,2
