post_id,num_comments,num_duplicates
hxwsdr,20,17
1j703vv,19,16
1j4vd23,17,14
10vb08e,10,9
1hsxfrd,15,9
1gafcks,12,9
ht5c9d,10,8
1ix8pi3,9,8
1j1v6i2,12,8
1fnhcuf,11,8
3nrm6c,10,8
1j3nvof,10,7
1izlbkf,11,7
1j1lk09,11,7
1j5drma,12,7
1hcw1o5,11,7
1j6091h,10,7
1j7a4eg,10,7
2opt61,10,7
1j09exn,10,7
1fookzy,10,7
1hrf5mf,10,7
1ingzdk,10,7
1bmeg27,10,7
1ir6u7h,10,7
1ix5e3v,10,7
16iq54z,9,7
1j6j46a,9,7
1j54xeq,10,7
1j5r478,10,7
1iygj9p,10,6
1j30aez,10,6
1i7fqk8,10,6
1hf6t1m,10,6
1gorkvj,9,6
2z5pld,10,6
1h2csvp,10,6
1j7msnt,10,6
1j63xoy,10,6
1j37opv,10,6
1j7bfqp,11,6
1j8dux4,10,6
1e18k71,10,6
1ixtx99,10,6
1ixkfb8,11,6
17jxrs5,10,6
1itik81,10,6
1ir9cyg,10,6
1iwhsz7,10,6
1im6odb,10,6
1ihy9mm,10,6
3gna07,10,6
1g9rn5f,10,6
xh1r8x,10,5
107dem8,10,5
109v5xh,10,5
1j6aeod,10,5
1j4q940,10,5
1j735nf,10,5
1j3olkw,10,5
1j3ufnr,10,5
1hm0vf6,10,5
1j5v2fz,8,5
1j6p4qd,10,5
1guegsu,10,5
1j854p2,10,5
1j8c0ej,10,5
1iqwy12,8,5
1ismhvd,8,5
hrjgpm,10,5
1ix36dq,10,5
krsyec,10,5
1iyeoy0,10,5
1ig4o3l,10,5
1ijg08f,10,5
1izkuz4,10,5
1ioxatq,10,5
1j1brr1,10,5
1ic8soa,11,5
1imomz8,10,5
1ixzst3,10,5
1idp04q,10,5
1j2h14x,10,5
1ikdur0,10,5
1ilhs4o,10,5
1i8ko5c,10,5
1i941un,10,5
ag0fyg,9,5
1j71irl,10,5
2.30E+43,18,5
1gz1e7o,10,5
1id8ibz,9,5
1icu2ar,10,5
2wh7g0,10,4
1g2wr43,6,4
2iq20x,10,4
bjjw5m,10,4
1j7lho3,10,4
1j74apd,10,4
1j30mmz,10,4
1j3tr32,7,4
1j4r33j,10,4
1i11pvh,10,4
1i40x55,6,4
1j52w0d,10,4
1j72dgv,10,4
1hlctq1,10,4
1j70mzi,8,4
1cy25i8,7,4
1j84uo0,10,4
1j7z9vl,10,4
1gyp8w1,10,4
1ga1jq8,10,4
1j2wb3c,8,4
1j2riup,8,4
1iloobm,10,4
1izfk5b,9,4
1j0dbbn,8,4
1j163uh,6,4
1iej3lw,10,4
1iwc4u1,10,4
1iu433b,10,4
1is1n07,10,4
e2w19w,8,4
hseqz2,10,4
liy1j8,10,4
i05dzn,10,4
1bepp9q,10,4
1bsyypf,10,4
1byp5fx,10,4
1adtv94,6,4
1bj4e72,10,3
cgpbv1,8,3
1ividad,8,3
exg935,10,3
w9a6o8,10,3
1i7zjbx,10,3
1iqt44t,10,3
1iugp1h,9,3
1iv3hno,10,3
1iwykv5,7,3
1il94st,9,3
1hbqsi7,8,3
1hhnz94,10,3
1hhk3op,6,3
1j4w04u,9,3
1hvcx6z,13,3
1if6ox5,10,3
1iapfst,7,3
1j7lyq3,10,3
1gjbif6,13,3
1gd15cg,10,3
1gdg53s,10,3
1gefvfn,10,3
1j8fw8f,10,3
1j87cjw,7,3
1j7z4dm,10,3
1g8rra4,10,3
1fhaclb,10,3
3c771r,10,3
3mzwz7,7,3
1fheysy,8,3
c6vqey,10,3
2vygs3,10,3
1iu2nqz,10,2
1i69xg7,5,2
1i9s767,4,2
1i5d77u,9,2
1iq6vn8,6,2
1iisdzk,7,2
1ijuo3f,5,2
1iq9gtk,7,2
1iwyh7r,4,2
1ifmluv,9,2
1irt47t,5,2
nh43w9,9,2
12i893h,10,2
ph511m,10,2
l497hw,9,2
17o53v4,8,2
1835ps7,10,2
1gitms8,10,2
1j7mgjq,4,2
1j7cuw0,5,2
1gvyt3e,6,2
1j80e5o,10,2
1j83lue,5,2
1j7t0vg,5,2
1tfo6e,7,2
1fzmagp,8,2
7qxvxo,7,2
1g4k3z2,4,2
322mgp,4,2
1x1cnd,9,2
1j8a0p6,4,2
1j84uvj,5,2
1j8c1mo,3,2
1j7nss5,10,2
1j5u4vx,10,2
1j5tckr,7,2
1iy6ed7,11,2
1j0uarp,9,2
1j0u08k,8,2
1j58j5k,10,2
1j3r6s9,4,2
1hwkukl,10,2
1i02ss2,9,2
